Time [s],crank,cam,Channel 2
0.000000000,0,1,0
0.001447500,0,0,0
0.007682500,1,0,0
0.013682500,1,0,1
0.034895500,0,0,1
0.041490500,0,1,1
0.046893500,1,1,1
0.070022500,0,1,1
0.078589000,1,1,1
0.090829500,0,1,1
0.098066500,1,1,1
0.109460000,0,1,1
0.116792500,1,1,1
0.130374000,0,1,1
0.138937500,1,1,1
0.155956500,1,1,0
0.163149500,0,1,0
0.169658000,0,0,0
0.174187000,1,0,0
0.182044000,1,0,1
0.202883000,0,0,1
0.209767500,0,1,1
0.214846000,1,1,1
0.237290500,1,0,1
0.238215000,0,0,1
0.242512000,1,0,1
0.245649500,0,0,1
0.247897000,0,1,1
0.251815500,1,1,1
0.258343500,0,1,1
0.264829500,1,1,1
0.276048000,0,1,1
0.283107500,1,1,1
0.295523000,0,1,1
0.303668500,1,1,1
0.317232500,1,1,0
0.326205000,0,1,0
0.332121500,0,0,0
0.337953000,1,0,0
0.344446000,1,0,1
0.365897500,0,0,1
0.372870000,0,1,1
0.378175500,1,1,1
0.401613500,0,1,1
0.410022000,1,1,1
0.421314000,0,1,1
0.428300000,1,1,1
0.438482000,0,1,1
0.445423500,1,1,1
0.456940500,0,1,1
0.464613000,1,1,1
0.475263500,1,1,0
0.483114500,0,1,0
0.490683000,0,0,0
0.494610000,1,0,0
0.502094500,1,0,1
0.522835500,0,0,1
0.529741500,0,1,1
0.534505500,1,1,1
0.558069500,0,1,1
0.562505000,1,1,1
0.565751500,0,1,1
0.572067000,1,1,1
0.578881500,0,1,1
0.585497000,1,1,1
0.597306500,0,1,1
0.604519000,1,1,1
0.617711500,0,1,1
0.626110000,1,1,1
0.640167000,1,1,0
0.649259500,0,1,0
0.654411500,0,0,0
0.660809000,1,0,0
0.666835500,1,0,1
0.688214500,0,0,1
0.694958000,0,1,1
0.700227500,1,1,1
0.723447000,0,1,1
0.732031000,1,1,1
0.744226000,0,1,1
0.751468500,1,1,1
0.762867500,0,1,1
0.770220500,1,1,1
0.783867500,0,1,1
0.792458500,1,1,1
0.809848000,1,1,0
0.816804000,0,1,0
0.823429000,0,0,0
0.827819000,1,0,0
0.836056500,1,0,1
0.856850500,0,0,1
0.863913500,0,1,1
0.868879000,1,1,1
0.891461000,1,0,1
0.892351500,0,0,1
0.896637500,1,0,1
0.899780000,0,0,1
0.902047000,0,1,1
0.905939500,1,1,1
0.912471000,0,1,1
0.918950500,1,1,1
0.930173500,0,1,1
0.937235500,1,1,1
0.949645500,0,1,1
0.957789500,1,1,1
0.971383000,1,1,0
0.980493500,0,1,0
0.986084000,0,0,0
0.992606500,1,0,0
0.998761500,1,0,1
1.020344000,0,0,1
1.027243500,0,1,1
1.032695500,1,1,1
1.056206000,0,1,1
1.064632500,1,1,1
1.075958500,0,1,1
1.082969500,1,1,1
1.093173000,0,1,1
1.100129000,1,1,1
1.111678000,0,1,1
1.119341500,1,1,1
1.130038000,1,1,0
1.137970500,0,1,0
1.145548000,0,0,0
