Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.016742000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.025002000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.029986750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.035069250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.039742750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.043829000000000, 0, 1, 1, 1, 1, 1, 1, 1
1.047893750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.051807250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.055466750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.059018250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.062508750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.065946750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.069201750000000, 0, 0, 1, 1, 1, 1, 1, 1
1.072380250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.075575250000000, 0, 0, 1, 1, 1, 1, 1, 1
1.078768250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.081866000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.084939500000000, 0, 1, 1, 1, 1, 1, 1, 1
1.088009500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.091057250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.094042250000000, 0, 0, 1, 1, 1, 1, 1, 1
1.096969250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.099905500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.102820250000000, 0, 1, 1, 1, 1, 1, 1, 1
1.105664000000000, 0, 0, 1, 1, 1, 1, 1, 1
1.108472750000000, 0, 1, 1, 1, 1, 1, 1, 1
1.111244500000000, 0, 0, 1, 1, 1, 1, 1, 1
1.113712250000000, 1, 0, 1, 1, 1, 1, 1, 1
