Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.000000000000000, 0, 0, 1, 1, 1, 1, 1, 1
0.506181500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.511949000000000, 0, 0, 1, 1, 1, 1, 1, 1
0.516159250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521384000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521384250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521384500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521384750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521386000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521386500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521386750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521387250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521387750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521388000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521390000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521390250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521390500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521391000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521391250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521391500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521392750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521393250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521395500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521395750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521396500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521396750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521397500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521398000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521399000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521399500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521400250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521400500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521401000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521401250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521401500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521402000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521402250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521402750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521403250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521403500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521403750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521404000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521404250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521404750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521405250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521405500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521406250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521406500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521407000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521407250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521407500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521408000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521408250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521408500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521408750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521409000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521409250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521409500000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521409750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521410000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521410500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521410750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521411250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521411750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521412000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521412250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521412500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521412750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521413000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521413250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521413500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521413750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521414500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521414750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521415000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521415250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521415500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521415750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521416000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521419000000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521419250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521419750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521420000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521420250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521420500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521420750000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521421000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.521421250000000, 0, 1, 1, 1, 1, 1, 1, 1
0.521421500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.528781750000000, 1, 0, 1, 1, 1, 1, 1, 1
0.539755750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.543096500000000, 1, 0, 1, 1, 1, 1, 1, 1
0.546488250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.549761500000000, 1, 0, 1, 1, 1, 1, 1, 1
0.552999750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.556169750000000, 1, 0, 1, 1, 1, 1, 1, 1
0.559301750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.562401000000000, 1, 0, 1, 1, 1, 1, 1, 1
0.565477000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.568506500000000, 1, 0, 1, 1, 1, 1, 1, 1
0.571541750000000, 1, 1, 1, 1, 1, 1, 1, 1
0.574561750000000, 1, 0, 1, 1, 1, 1, 1, 1
