Time[s], Channel 0
0.000000000000000, 0
0.017649000000000, 1
0.017767000000000, 0
0.017879500000000, 1
0.017994000000000, 0
0.018310000000000, 1
0.018427500000000, 0
0.018640000000000, 1
0.019157000000000, 0
0.019272500000000, 1
0.019487000000000, 0
0.019603000000000, 1
0.019717500000000, 0
0.019830000000000, 1
0.019944500000000, 0
0.020061000000000, 1
0.020175500000000, 0
0.020288000000000, 1
0.020602000000000, 0
0.020717500000000, 1
0.020832000000000, 0
0.021048500000000, 1
0.021461500000000, 0
0.021976000000000, 1
0.022094000000000, 0
0.022605000000000, 1
0.022723000000000, 0
0.022835500000000, 1
0.023050000000000, 0
0.023365500000000, 1
0.023981500000000, 0
0.024191000000000, 1
0.024307500000000, 0
0.025009500000000, 1
0.025124500000000, 0
0.025236500000000, 1
0.025447000000000, 0
0.025657500000000, 1
0.025773000000000, 0
0.025984500000000, 1
0.026492500000000, 0
0.026605000000000, 1
0.026815500000000, 0
0.026928000000000, 1
0.027039000000000, 0
0.027152000000000, 1
0.027267000000000, 0
0.027380000000000, 1
0.027491500000000, 0
0.027605000000000, 1
0.027917000000000, 0
0.028029000000000, 1
0.028141000000000, 0
0.028549000000000, 1
0.028762500000000, 0
0.029268500000000, 1
0.029383000000000, 0
0.029594000000000, 1
0.029709000000000, 0
0.029821500000000, 1
0.030130000000000, 0
0.030342000000000, 1
0.030457000000000, 0
0.030570000000000, 1
0.031173000000000, 0
0.031382500000000, 1
0.031498500000000, 0
0.038286500000000, 1
0.038401500000000, 0
0.038514500000000, 1
0.038728000000000, 0
0.039038000000000, 1
0.039547000000000, 0
0.039660500000000, 1
0.040070500000000, 0
0.040478500000000, 1
0.040987000000000, 0
0.041493000000000, 1
0.041608000000000, 0
0.042015500000000, 1
0.042328000000000, 0
0.042440500000000, 1
0.042555500000000, 0
0.042963000000000, 1
0.043570500000000, 0
0.043780500000000, 1
0.043896500000000, 0
0.044612000000000, 1
0.044732000000000, 0
0.044848000000000, 1
0.045069000000000, 0
0.045285000000000, 1
0.045405500000000, 0
0.045622000000000, 1
0.046142500000000, 0
0.046258500000000, 1
0.046479000000000, 0
0.046695500000000, 1
0.046815500000000, 0
0.047332500000000, 1
0.047452000000000, 0
0.047568500000000, 1
0.047689000000000, 0
