Bus;Dir;ID;Count;Time;Len;D0;D1;D2;D3;D4;D5;D6;D7;Period
CAN 1;In;0x540;24557;567.5958;8;10;00;FF;00;FF;00;02;46;0.0097
CAN 1;In;0x548;24156;567.5958;3;61;00;00;;;;;;0.0097
CAN 1;Out;0x38A;14275;567.5989;4;7C;00;7C;00;;;;;0.0196
CAN 1;Out;0x480;14093;567.5989;8;72;00;00;80;41;00;02;B1;0.0196
CAN 1;Out;0x3A0;13987;567.5990;8;B6;0D;52;96;CD;16;A8;0F;0.0196
CAN 1;Out;0x5A0;13674;567.5992;8;7F;00;00;D0;00;10;08;AB;0.0194
CAN 1;Out;0x4A8;13618;567.5997;8;43;00;90;01;00;00;C0;12;0.0199
CAN 1;Out;0x1AC;13629;567.5997;8;B7;8D;00;00;69;41;00;12;0.0197
CAN 1;Out;0x050;13101;567.5999;4;00;F0;D0;20;;;;;0.0194
CAN 1;Out;0x0C2;12990;567.6002;8;00;00;00;00;80;80;00;4B;0.0197
CAN 1;Out;0x320;12965;567.6003;8;64;00;89;10;00;0D;00;80;0.0196
CAN 1;Out;0x448;24651;567.6005;5;62;00;00;0A;90;;;;0.0113
CAN 1;Out;0x280;24442;567.6011;8;01;00;A4;0E;00;00;0C;00;0.0118
CAN 1;Out;0x288;24246;567.6011;8;8B;00;13;00;00;4C;74;00;0.0118
CAN 1;Out;0x380;24335;567.6013;8;00;56;00;6C;B0;00;25;00;0.0117
CAN 1;Out;0x588;24136;567.6014;8;00;80;7C;00;00;00;00;00;0.0117
CAN 1;Out;0x488;24053;567.6018;8;22;00;00;7C;FE;FF;FF;A0;0.0115
CAN 1;Out;0x4A0;23849;567.6020;8;00;00;00;00;00;00;00;00;0.0116
CAN 1;In;0x440;25049;567.6157;8;00;60;00;FE;7F;00;98;04;0.0203
CAN 1;In;0x540;24558;567.6158;8;30;00;FF;00;FF;00;02;46;0.0200
CAN 1;In;0x548;24157;567.6159;3;61;00;00;;;;;;0.0200
CAN 1;Out;0x38A;14276;567.6196;4;8C;00;8C;00;;;;;0.0207
CAN 1;Out;0x480;14094;567.6196;8;72;00;00;80;41;00;02;B1;0.0207
CAN 1;Out;0x3A0;13988;567.6196;8;B6;0E;52;96;CD;16;A8;0F;0.0207
CAN 1;Out;0x5A0;13675;567.6200;8;7F;00;00;E0;00;10;08;AB;0.0209
CAN 1;Out;0x4A8;13619;567.6201;8;5B;00;90;01;00;00;D0;1A;0.0204
CAN 1;Out;0x1AC;13630;567.6203;8;B4;8E;00;00;69;41;00;12;0.0206
CAN 1;Out;0x050;13102;567.6210;4;00;F0;E0;10;;;;;0.0211
CAN 1;Out;0x0C2;12991;567.6210;8;00;00;00;00;80;90;00;3B;0.0208
CAN 1;Out;0x320;12966;567.6210;8;64;00;89;10;00;0E;00;80;0.0208
CAN 1;Out;0x448;24652;567.6214;5;62;00;00;0C;90;;;;0.0209
CAN 1;Out;0x280;24443;567.6214;8;01;00;94;0E;00;00;0C;00;0.0203
CAN 1;Out;0x288;24247;567.6218;8;FE;00;13;00;00;4C;74;00;0.0207
CAN 1;Out;0x380;24336;567.6220;8;00;56;00;6C;B0;00;25;00;0.0206
CAN 1;Out;0x588;24137;567.6226;8;00;80;7C;00;00;00;00;00;0.0212
CAN 1;Out;0x488;24054;567.6226;8;42;00;00;7C;FE;FF;FF;C0;0.0208
CAN 1;Out;0x4A0;23850;567.6226;8;00;00;00;00;00;00;00;00;0.0207
CAN 1;Out;0x1A0;22545;567.6229;8;00;4A;00;00;FE;FE;00;38;0.0325
CAN 1;Out;0x2A0;22348;567.6233;8;00;00;00;00;00;00;C0;C0;0.0324
CAN 1;Out;0x0AE;21998;567.6233;8;C3;C0;00;00;00;00;03;00;0.0324
CAN 1;Out;0x524;10253;567.6236;8;00;00;ED;FF;00;00;80;04;0.0403
CAN 1;Out;0x523;10274;567.6245;8;00;00;00;00;00;00;64;00;0.0407
CAN 1;Out;0x522;10290;567.6245;8;23;04;08;00;00;00;00;00;0.0407
CAN 1;Out;0x521;10288;567.6245;8;C2;03;00;00;79;00;00;00;0.0399
CAN 1;Out;0x520;10284;567.6248;8;A5;03;00;00;0E;03;C2;03;0.0402
CAN 1;In;0x440;25050;567.6255;8;00;60;00;FE;7F;00;A0;04;0.0098
CAN 1;In;0x540;24559;567.6261;8;40;00;FF;00;FF;00;02;0F;0.0103
CAN 1;In;0x548;24158;567.6263;3;61;00;00;;;;;;0.0104
CAN 1;Out;0x448;24653;567.6294;5;62;00;00;0D;90;;;;0.0080
CAN 1;Out;0x280;24444;567.6294;8;01;00;94;0E;00;00;0C;00;0.0080
CAN 1;Out;0x288;24248;567.6294;8;FE;00;13;00;00;4C;74;00;0.0077
CAN 1;Out;0x380;24337;567.6296;8;00;56;00;6C;B0;00;25;00;0.0076
CAN 1;Out;0x588;24138;567.6303;8;00;80;7C;00;00;00;00;00;0.0077
CAN 1;Out;0x488;24055;567.6303;8;85;00;00;7C;FE;FF;28;D0;0.0077
CAN 1;Out;0x4A0;23851;567.6305;8;00;00;00;00;00;00;00;00;0.0079
CAN 1;Out;0x1A0;22546;567.6309;8;00;4A;00;00;FE;FE;00;39;0.0080
CAN 1;Out;0x2A0;22349;567.6310;8;00;00;00;00;00;00;D0;D0;0.0077
CAN 1;Out;0x0AE;21999;567.6312;8;D3;D0;00;00;00;00;03;00;0.0079
CAN 1;In;0x440;25051;567.6355;8;00;60;00;FE;7F;00;A8;04;0.0100
CAN 1;In;0x540;24560;567.6358;8;50;00;FF;00;FF;00;02;0F;0.0097
CAN 1;In;0x548;24159;567.6359;3;65;CA;FE;;;;;;0.0096
CAN 1;Out;0x321;2864;567.6393;1;AC;;;;;;;;0.1012
CAN 1;Out;0x390;2808;567.6396;8;01;00;50;00;00;00;00;00;0.0992
CAN 1;Out;0x38A;14277;567.6396;4;9C;00;9C;00;;;;;0.0201
CAN 1;Out;0x480;14095;567.6396;8;72;00;00;80;41;00;02;B1;0.0201
CAN 1;Out;0x3A0;13989;567.6400;8;B6;0F;52;96;CD;16;A8;0F;0.0204
CAN 1;Out;0x5A0;13676;567.6400;8;7F;00;00;F0;00;10;08;AB;0.0200
CAN 1;Out;0x4A8;13620;567.6408;8;5F;00;90;01;00;00;E0;2E;0.0207
CAN 1;Out;0x1AC;13631;567.6409;8;B5;8F;00;00;69;41;00;12;0.0205
CAN 1;Out;0x050;13103;567.6409;4;00;F0;F0;00;;;;;0.0199
CAN 1;Out;0x0C2;12992;567.6412;8;00;00;00;00;80;A0;00;2B;0.0202
CAN 1;Out;0x320;12967;567.6416;8;64;00;89;10;00;0F;00;80;0.0205
CAN 1;Out;0x448;24654;567.6416;5;62;00;34;1E;90;;;;0.0122
CAN 1;Out;0x280;24445;567.6418;8;01;00;94;0E;00;00;0C;00;0.0124
CAN 1;Out;0x288;24249;567.6423;8;FE;00;13;00;00;4C;74;00;0.0128
CAN 1;Out;0x380;24338;567.6423;8;00;56;00;6C;B0;00;25;00;0.0127
CAN 1;Out;0x588;24139;567.6425;8;00;80;7C;00;00;00;00;00;0.0122
CAN 1;Out;0x4A0;23852;567.6631;8;00;00;00;00;00;00;00;00;0.0325
CAN 1;Out;0x1A0;22547;567.6631;8;00;4A;00;00;FE;FE;00;3C;0.0322
CAN 1;Out;0x2A0;22350;567.6632;8;00;00;00;00;00;00;00;00;0.0322
CAN 1;Out;0x0AE;22000;567.6635;8;03;00;00;00;00;00;03;00;0.0322
CAN 1;Out;0x524;10254;567.6639;8;00;00;EA;FF;00;00;80;04;0.0403
CAN 1;Out;0x523;10275;567.6639;8;00;00;00;00;00;00;64;00;0.0394
CAN 1;Out;0x522;10291;567.6641;8;17;04;08;00;00;00;00;00;0.0396
CAN 1;Out;0x521;10289;567.6646;8;C2;03;00;00;79;00;00;00;0.0401
CAN 1;Out;0x520;10285;567.6646;8;A5;03;00;00;08;03;C2;03;0.0398
CAN 1;In;0x440;25052;567.6660;8;00;60;00;FE;7F;00;C0;04;0.0304
CAN 1;In;0x540;24561;567.6660;8;80;00;FF;00;FF;00;02;46;0.0302
CAN 1;In;0x548;24160;567.6661;3;65;FF;05;;;;;;0.0302
CAN 1;Out;0x448;24655;567.6702;5;62;00;FA;11;90;;;;0.0286
CAN 1;Out;0x280;24446;567.6702;8;01;00;94;0E;00;00;0C;00;0.0284
CAN 1;Out;0x288;24250;567.6702;8;2C;00;13;00;00;4C;74;00;0.0279
CAN 1;Out;0x380;24339;567.6705;8;00;56;00;6C;B0;00;25;00;0.0282
CAN 1;Out;0x588;24140;567.6709;8;00;80;7C;00;00;00;00;00;0.0284
CAN 1;Out;0x488;24056;567.6709;8;45;00;00;7C;FE;FF;28;10;0.0406
CAN 1;Out;0x4A0;23853;567.6715;8;00;00;00;00;00;00;00;00;0.0085
CAN 1;Out;0x1A0;22548;567.6716;8;00;4A;00;00;FE;FE;00;3D;0.0085
CAN 1;Out;0x2A0;22351;567.6716;8;00;00;00;00;00;00;10;10;0.0085
CAN 1;Out;0x0AE;22001;567.6721;8;13;10;00;00;00;00;03;00;0.0086
CAN 1;In;0x440;25053;567.6754;8;00;60;00;FE;7F;00;C8;04;0.0094
CAN 1;In;0x540;24562;567.6757;8;90;00;FF;00;FF;00;02;46;0.0096
CAN 1;In;0x548;24161;567.6763;3;61;00;00;;;;;;0.0103
CAN 1;Out;0x38A;14278;567.6798;4;0C;00;0C;00;;;;;0.0402
CAN 1;Out;0x480;14096;567.6798;8;84;00;00;80;41;00;02;47;0.0402
CAN 1;Out;0x3A0;13990;567.6799;8;B6;01;52;96;CD;16;A8;0F;0.0399
CAN 1;Out;0x5A0;13677;567.6805;8;7F;00;00;10;00;10;08;AB;0.0404
CAN 1;Out;0x4A8;13621;567.6805;8;3D;00;90;01;00;00;00;AC;0.0397
CAN 1;Out;0x1AC;13632;567.6806;8;BB;81;00;00;69;41;00;12;0.0397
CAN 1;Out;0x050;13104;567.6809;4;00;F0;10;E0;;;;;0.0400
CAN 1;Out;0x0C2;12993;567.6813;8;00;00;00;00;80;C0;00;0B;0.0402
CAN 1;Out;0x320;12968;567.6814;8;64;00;89;10;00;01;00;80;0.0398
CAN 1;Out;0x448;24656;567.6814;5;62;00;00;02;90;;;;0.0112
CAN 1;Out;0x280;24447;567.6822;8;01;00;EC;0E;00;00;0C;00;0.0119
CAN 1;Out;0x288;24251;567.6822;8;2C;00;13;00;00;4C;74;00;0.0119
CAN 1;Out;0x380;24340;567.6822;8;00;56;00;6C;B0;00;26;00;0.0117
CAN 1;Out;0x588;24141;567.6824;8;00;80;7C;00;00;00;00;00;0.0115
CAN 1;Out;0x488;24057;567.6829;8;A2;00;00;7C;FE;FF;FF;20;0.0119
CAN 1;Out;0x4A0;23854;567.6829;8;00;00;00;00;00;00;00;00;0.0114
CAN 1;Out;0x1A0;22549;567.6836;8;00;4A;00;00;FE;FE;00;3E;0.0120
CAN 1;Out;0x2A0;22352;567.6836;8;00;00;00;00;00;00;20;20;0.0120
CAN 1;Out;0x0AE;22002;567.6837;8;23;20;00;00;00;00;03;00;0.0115
CAN 1;Out;0x524;10255;567.6841;8;00;00;EA;FF;00;00;80;04;0.0203
CAN 1;Out;0x523;10276;567.6841;8;00;00;00;00;00;00;64;00;0.0202
CAN 1;Out;0x522;10292;567.6849;8;24;04;08;00;00;00;00;00;0.0208
CAN 1;Out;0x521;10290;567.6849;8;C0;03;00;00;76;00;00;00;0.0203
CAN 1;Out;0x520;10286;567.6849;8;BB;03;00;00;0D;03;C0;03;0.0203
CAN 1;In;0x440;25054;567.6855;8;00;60;00;FE;7F;00;D0;04;0.0101
CAN 1;In;0x540;24563;567.6863;8;A0;00;FF;00;FF;00;02;46;0.0107
CAN 1;In;0x548;24162;567.6864;3;61;00;00;;;;;;0.0100
CAN 1;Out;0x448;24657;567.6905;5;62;00;00;03;90;;;;0.0091
CAN 1;Out;0x280;24448;567.6905;8;01;00;EC;0E;00;00;0C;00;0.0083
CAN 1;Out;0x288;24252;567.6905;8;2C;00;13;00;00;4C;74;00;0.0083
CAN 1;Out;0x380;24341;567.6909;8;00;56;00;6C;B0;00;26;00;0.0087
CAN 1;Out;0x588;24142;567.6909;8;00;80;7C;00;00;00;00;00;0.0085
CAN 1;Out;0x488;24058;567.6916;8;65;00;00;7C;FE;FF;28;30;0.0087
CAN 1;Out;0x4A0;23855;567.6916;8;00;00;00;00;00;00;00;00;0.0087
CAN 1;Out;0x38A;14279;567.7207;4;2C;00;2C;00;;;;;0.0409
CAN 1;Out;0x480;14097;567.7207;8;84;00;00;80;41;00;02;47;0.0409
CAN 1;Out;0x3A0;13991;567.7208;8;B6;03;52;96;CD;16;A8;0F;0.0409
CAN 1;Out;0x5A0;13678;567.7212;8;7F;00;00;30;00;10;08;AB;0.0407
CAN 1;Out;0x4A8;13622;567.7213;8;33;00;90;01;00;00;20;82;0.0407
CAN 1;Out;0x1AC;13633;567.7215;8;B9;83;00;00;69;41;00;12;0.0409
CAN 1;Out;0x050;13105;567.7222;4;00;F0;30;C0;;;;;0.0413
CAN 1;Out;0x0C2;12994;567.7222;8;00;00;00;00;80;E0;00;EB;0.0409
CAN 1;Out;0x320;12969;567.7223;8;64;00;89;10;00;03;00;80;0.0409
CAN 1;Out;0x448;24658;567.7226;5;62;00;BA;16;90;;;;0.0321
CAN 1;Out;0x280;24449;567.7230;8;01;00;EC;0E;00;00;0C;00;0.0325
CAN 1;Out;0x288;24253;567.7230;8;64;00;13;00;00;4C;74;00;0.0325
CAN 1;Out;0x380;24342;567.7230;8;00;56;00;6C;B0;00;26;00;0.0321
CAN 1;Out;0x588;24143;567.7239;8;00;80;7C;00;00;00;00;00;0.0329
CAN 1;Out;0x488;24059;567.7239;8;E2;00;00;7C;FE;FF;FF;60;0.0323
CAN 1;Out;0x4A0;23856;567.7239;8;00;00;00;00;00;00;00;00;0.0323
CAN 1;Out;0x1A0;22550;567.7244;8;00;4A;00;00;FE;FE;00;32;0.0409
CAN 1;Out;0x2A0;22353;567.7245;8;00;00;00;00;00;00;60;60;0.0409
CAN 1;Out;0x0AE;22003;567.7247;8;63;60;00;00;00;00;03;00;0.0410
CAN 1;Out;0x524;10256;567.7251;8;00;00;EA;FF;00;00;80;04;0.0410
CAN 1;Out;0x523;10277;567.7252;8;00;00;00;00;00;00;64;00;0.0410
CAN 1;In;0x440;25055;567.7257;8;00;60;00;FE;7F;00;F0;04;0.0401
CAN 1;Out;0x522;10293;567.7257;8;19;04;08;00;00;00;00;00;0.0408
CAN 1;Out;0x521;10291;567.7258;8;BF;03;00;00;76;00;00;00;0.0409
CAN 1;Out;0x520;10287;567.7264;8;BB;03;00;00;06;03;BF;03;0.0415
CAN 1;In;0x540;24564;567.7274;8;E0;00;FF;00;FF;00;02;0F;0.0411
CAN 1;In;0x548;24163;567.7274;3;61;00;00;;;;;;0.0411
CAN 1;Out;0x448;24659;567.7306;5;62;00;00;07;90;;;;0.0080
CAN 1;Out;0x280;24450;567.7306;8;01;00;EC;0E;00;00;0C;00;0.0076
CAN 1;Out;0x288;24254;567.7306;8;64;00;13;00;00;4C;74;00;0.0076
CAN 1;Out;0x380;24343;567.7308;8;00;56;00;6C;B0;00;26;00;0.0078
CAN 1;Out;0x588;24144;567.7314;8;00;80;7C;00;00;00;00;00;0.0075
CAN 1;Out;0x488;24060;567.7314;8;25;00;00;7C;FE;FF;28;70;0.0075
CAN 1;Out;0x4A0;23857;567.7316;8;00;00;00;00;00;00;00;00;0.0077
CAN 1;Out;0x1A0;22551;567.7320;8;00;4A;00;00;FE;FE;00;33;0.0076
CAN 1;Out;0x2A0;22354;567.7320;8;00;00;00;00;00;00;70;70;0.0076
CAN 1;Out;0x0AE;22004;567.7329;8;73;70;00;00;00;00;03;00;0.0082
CAN 1;In;0x440;25056;567.7354;8;00;60;00;FE;7F;00;F8;04;0.0097
CAN 1;In;0x540;24565;567.7357;8;F0;00;FF;00;FF;00;02;0F;0.0083
CAN 1;In;0x548;24164;567.7357;3;61;00;00;;;;;;0.0083
CAN 1;Out;0x321;2865;567.7404;1;AC;;;;;;;;0.1011
CAN 1;Out;0x420;1461;567.7408;8;24;84;85;00;00;12;FF;00;0.2013
CAN 1;Out;0x390;2809;567.7409;8;01;00;50;00;00;00;00;00;0.1013
CAN 1;Out;0x38A;14280;567.7409;4;3C;00;3C;00;;;;;0.0202
CAN 1;Out;0x480;14098;567.7411;8;C1;00;00;80;41;00;02;02;0.0204
CAN 1;Out;0x3A0;13992;567.7418;8;B6;04;52;96;CD;16;A8;0F;0.0211
CAN 1;Out;0x5A0;13679;567.7419;8;7F;00;00;40;00;10;08;AB;0.0207
CAN 1;Out;0x4A8;13623;567.7419;8;37;00;90;01;00;00;30;96;0.0207
CAN 1;Out;0x1AC;13634;567.7422;8;BE;84;00;00;69;41;00;12;0.0208
CAN 1;Out;0x050;13106;567.7427;4;00;F0;40;B0;;;;;0.0205
CAN 1;Out;0x0C2;12995;567.7427;8;00;00;00;00;80;00;00;CB;0.0205
CAN 1;Out;0x320;12970;567.7429;8;64;00;89;10;00;04;00;80;0.0206
CAN 1;Out;0x448;24660;567.7435;5;62;00;00;08;90;;;;0.0129
CAN 1;Out;0x280;24451;567.7435;8;01;00;F0;0E;00;00;0C;00;0.0129
CAN 1;Out;0x288;24255;567.7436;8;8B;00;13;00;00;4C;74;00;0.0129
CAN 1;Out;0x380;24344;567.7438;8;00;56;00;6C;B0;00;26;00;0.0130
CAN 1;Out;0x588;24145;567.7442;8;00;80;7C;00;00;00;00;00;0.0128
CAN 1;Out;0x488;24061;567.7442;8;02;00;00;7C;FE;FF;FF;80;0.0128
CAN 1;Out;0x4A0;23858;567.7450;8;00;00;00;00;00;00;00;00;0.0133
CAN 1;Out;0x38A;14281;567.7609;4;4C;00;4C;00;;;;;0.0200
CAN 1;Out;0x480;14099;567.7609;8;C1;00;00;80;41;00;02;02;0.0198
CAN 1;Out;0x3A0;13993;567.7610;8;B6;05;52;96;CD;16;A8;0F;0.0191
CAN 1;Out;0x5A0;13680;567.7614;8;7F;00;00;50;00;10;08;AB;0.0195
CAN 1;Out;0x4A8;13624;567.7614;8;32;00;90;01;00;00;40;E3;0.0195
CAN 1;Out;0x1AC;13635;567.7617;8;BF;85;00;00;69;41;00;12;0.0194
CAN 1;Out;0x050;13107;567.7624;4;00;F0;50;A0;;;;;0.0197
CAN 1;Out;0x0C2;12996;567.7624;8;00;00;00;00;80;10;00;BB;0.0197
CAN 1;Out;0x320;12971;567.7624;8;64;00;89;10;00;05;00;80;0.0195
CAN 1;Out;0x448;24661;567.7628;5;62;00;45;1A;90;;;;0.0192
CAN 1;Out;0x280;24452;567.7632;8;01;00;F0;0E;00;00;0C;00;0.0196
CAN 1;Out;0x288;24256;567.7632;8;8B;00;13;00;00;4C;74;00;0.0196
CAN 1;Out;0x380;24345;567.7632;8;00;56;00;6C;B0;00;26;00;0.0194
CAN 1;Out;0x588;24146;567.7638;8;00;80;7C;00;00;00;00;00;0.0196
CAN 1;Out;0x488;24062;567.7638;8;22;00;00;7C;FE;FF;FF;A0;0.0196
CAN 1;Out;0x4A0;23859;567.7640;8;00;00;00;00;00;00;00;00;0.0190
CAN 1;Out;0x1A0;22552;567.7644;8;00;4A;00;00;FE;FE;00;36;0.0324
CAN 1;Out;0x2A0;22355;567.7645;8;00;00;00;00;00;00;A0;A0;0.0325
CAN 1;Out;0x0AE;22005;567.7652;8;A3;A0;00;00;00;00;03;00;0.0323
CAN 1;Out;0x524;10257;567.7652;8;00;00;EA;FF;00;00;80;04;0.0400
CAN 1;In;0x440;25057;567.7654;8;00;60;00;FE;7F;00;90;04;0.0300
CAN 1;Out;0x523;10278;567.7654;8;00;00;00;00;00;00;64;00;0.0403
CAN 1;Out;0x522;10294;567.7659;8;1A;04;08;00;00;00;00;00;0.0402
CAN 1;Out;0x521;10292;567.7659;8;C5;03;00;00;76;00;00;00;0.0401
CAN 1;Out;0x520;10288;567.7665;8;BC;03;00;00;0F;03;C5;03;0.0401
CAN 1;In;0x540;24566;567.7672;8;20;00;FF;00;FF;00;02;46;0.0315
CAN 1;In;0x548;24165;567.7680;3;65;BA;FF;;;;;;0.0323
CAN 1;Out;0x448;24662;567.7711;5;62;00;45;1B;90;;;;0.0083
CAN 1;Out;0x280;24453;567.7711;8;01;00;F0;0E;00;00;0C;00;0.0079
CAN 1;Out;0x288;24257;567.7711;8;8B;00;13;00;00;4C;74;00;0.0080
CAN 1;Out;0x380;24346;567.7715;8;00;56;00;6C;B0;00;26;00;0.0083
CAN 1;Out;0x588;24147;567.7715;8;00;80;7C;00;00;00;00;00;0.0077
CAN 1;Out;0x488;24063;567.7718;8;E5;00;00;7C;FE;FF;28;B0;0.0080
CAN 1;Out;0x4A0;23860;567.7725;8;00;00;00;00;00;00;00;00;0.0085
CAN 1;Out;0x1A0;22553;567.7725;8;00;4A;00;00;FE;FE;00;37;0.0082
CAN 1;Out;0x2A0;22356;567.7726;8;00;00;00;00;00;00;B0;B0;0.0080
CAN 1;Out;0x0AE;22006;567.7729;8;B3;B0;00;00;00;00;03;00;0.0077
CAN 1;In;0x440;25058;567.7753;8;00;60;00;FE;7F;00;98;04;0.0098
CAN 1;In;0x540;24567;567.7757;8;30;00;FF;00;FF;00;02;46;0.0085
CAN 1;In;0x548;24166;567.7757;3;61;00;00;;;;;;0.0077
CAN 1;Out;0x38A;14282;567.7812;4;5C;00;5C;00;;;;;0.0203
CAN 1;Out;0x480;14100;567.7812;8;C1;00;00;80;41;00;02;02;0.0203
CAN 1;Out;0x3A0;13994;567.7813;8;B6;06;52;96;CD;16;A8;0F;0.0203
CAN 1;Out;0x5A0;13681;567.7814;8;7F;00;00;60;00;10;08;AB;0.0201
CAN 1;Out;0x4A8;13625;567.7819;8;3D;00;90;01;00;00;50;FC;0.0205
CAN 1;Out;0x1AC;13636;567.7819;8;BC;86;00;00;69;41;00;12;0.0203
CAN 1;Out;0x050;13108;567.7821;4;00;F0;60;90;;;;;0.0198
CAN 1;Out;0x0C2;12997;567.7825;8;00;00;00;00;80;20;00;AB;0.0201
CAN 1;Out;0x320;12972;567.7825;8;64;00;89;10;00;06;00;80;0.0201
CAN 1;Out;0x448;24663;567.7833;5;62;00;00;0C;90;;;;0.0122
CAN 1;Out;0x280;24454;567.7833;8;01;00;F0;0E;00;00;0C;00;0.0122
CAN 1;Out;0x288;24258;567.7834;8;FE;00;13;00;00;4C;74;00;0.0122
CAN 1;Out;0x380;24347;567.7836;8;00;56;00;6C;B0;00;26;00;0.0121
CAN 1;Out;0x588;24148;567.7840;8;00;80;7C;00;00;00;00;00;0.0125
CAN 1;Out;0x488;24064;567.7840;8;42;00;00;7C;FE;FF;FF;C0;0.0122
CAN 1;Out;0x4A0;23861;567.7848;8;00;00;00;00;00;00;00;00;0.0123
CAN 1;Out;0x1A0;22554;567.7848;8;00;4A;00;00;FE;FE;00;38;0.0123
CAN 1;Out;0x2A0;22357;567.7849;8;00;00;00;00;00;00;C0;C0;0.0123
CAN 1;In;0x440;25059;567.7852;8;00;60;00;FE;7F;00;A0;04;0.0099
CAN 1;Out;0x448;24664;567.8118;5;62;00;00;0F;90;;;;0.0284
CAN 1;Out;0x280;24455;567.8118;8;01;00;E0;0E;00;00;0C;00;0.0284
CAN 1;Out;0x288;24259;567.8118;8;FE;00;13;00;00;4C;74;00;0.0284
CAN 1;Out;0x380;24348;567.8122;8;00;56;00;6C;B0;00;26;00;0.0286
CAN 1;Out;0x588;24149;567.8122;8;00;80;7C;00;00;00;00;00;0.0282
CAN 1;Out;0x488;24065;567.8125;8;A5;00;00;7C;FE;FF;28;F0;0.0284
CAN 1;Out;0x4A0;23862;567.8132;8;00;00;00;00;00;00;00;00;0.0284
CAN 1;Out;0x1A0;22555;567.8132;8;00;4A;00;00;FE;FE;00;3B;0.0284
CAN 1;Out;0x2A0;22358;567.8132;8;00;00;00;00;00;00;F0;F0;0.0284
CAN 1;Out;0x0AE;22007;567.8136;8;F3;F0;00;00;00;00;03;00;0.0407
CAN 1;In;0x440;25060;567.8152;8;00;60;00;FE;7F;00;B8;04;0.0301
CAN 1;In;0x540;24568;567.8159;8;70;00;FF;00;FF;00;02;0F;0.0402
CAN 1;In;0x548;24167;567.8159;3;65;FF;06;;;;;;0.0402
CAN 1;Out;0x38A;14283;567.8218;4;7C;00;7C;00;;;;;0.0406
CAN 1;Out;0x480;14101;567.8218;8;3E;00;00;80;41;00;02;FD;0.0406
CAN 1;Out;0x3A0;13995;567.8219;8;B6;08;52;96;CD;16;A8;0F;0.0406
CAN 1;Out;0x5A0;13682;567.8220;8;7F;00;00;80;00;10;08;AB;0.0406
CAN 1;Out;0x4A8;13626;567.8226;8;2C;00;90;01;00;00;70;CD;0.0407
CAN 1;Out;0x1AC;13637;567.8226;8;B2;88;00;00;69;41;00;12;0.0407
CAN 1;Out;0x050;13109;567.8229;4;00;F0;80;70;;;;;0.0407
CAN 1;Out;0x0C2;12998;567.8232;8;00;00;00;00;80;40;00;8B;0.0408
CAN 1;Out;0x320;12973;567.8233;8;64;00;89;10;00;08;00;80;0.0407
CAN 1;Out;0x448;24665;567.8235;5;62;00;F9;10;90;;;;0.0117
CAN 1;Out;0x280;24456;567.8241;8;01;00;E0;0E;00;00;0C;00;0.0123
CAN 1;Out;0x288;24260;567.8241;8;2C;00;13;00;00;4C;74;00;0.0123
CAN 1;Out;0x380;24349;567.8241;8;00;56;00;6C;B0;00;26;00;0.0119
CAN 1;Out;0x588;24150;567.8243;8;00;80;7C;00;00;00;00;00;0.0121
CAN 1;Out;0x488;24066;567.8247;8;82;00;00;7C;FE;FF;FF;00;0.0123
CAN 1;Out;0x4A0;23863;567.8250;8;00;00;00;00;00;00;00;00;0.0118
CAN 1;In;0x440;25061;567.8254;8;00;60;00;FE;7F;00;C0;04;0.0102
CAN 1;Out;0x1A0;22556;567.8255;8;00;4A;00;00;FE;FE;00;3C;0.0123
CAN 1;Out;0x2A0;22359;567.8257;8;00;00;00;00;00;00;00;00;0.0124
CAN 1;Out;0x0AE;22008;567.8260;8;03;00;00;00;00;00;03;00;0.0125
CAN 1;Out;0x524;10258;567.8260;8;00;00;EA;FF;00;00;80;04;0.0609
CAN 1;In;0x540;24569;567.8268;8;80;00;FF;00;FF;00;02;46;0.0109
CAN 1;Out;0x523;10279;567.8268;8;00;00;00;00;00;00;64;00;0.0614
CAN 1;Out;0x522;10295;567.8268;8;1A;04;08;00;00;00;00;00;0.0610
CAN 1;Out;0x521;10293;567.8271;8;C5;03;00;00;77;00;00;00;0.0612
CAN 1;Out;0x520;10289;567.8275;8;B8;03;00;00;0C;03;C5;03;0.0609
CAN 1;In;0x548;24168;567.8282;3;65;FF;06;;;;;;0.0123
CAN 1;Out;0x448;24666;567.8317;5;62;00;F9;11;90;;;;0.0082
CAN 1;Out;0x280;24457;567.8317;8;01;00;E0;0E;00;00;0C;00;0.0076
CAN 1;Out;0x288;24261;567.8317;8;2C;00;13;00;00;4C;74;00;0.0076
CAN 1;Out;0x380;24350;567.8319;8;00;56;00;6C;B0;00;26;00;0.0077
CAN 1;Out;0x588;24151;567.8323;8;00;80;7C;00;00;00;00;00;0.0080
CAN 1;Out;0x488;24067;567.8323;8;45;00;00;7C;FE;FF;28;10;0.0076
CAN 1;Out;0x4A0;23864;567.8329;8;00;00;00;00;00;00;00;00;0.0079
CAN 1;Out;0x1A0;22557;567.8329;8;00;4A;00;00;FE;FE;00;3D;0.0074
CAN 1;Out;0x2A0;22360;567.8331;8;00;00;00;00;00;00;10;10;0.0074
CAN 1;Out;0x0AE;22009;567.8337;8;13;10;00;00;00;00;03;00;0.0077
CAN 1;In;0x440;25062;567.8354;8;00;60;00;FE;7F;00;C8;04;0.0100
