Time [s],crank,cam,Channel 2
0.000000000,1,1,1
0.014356500,0,1,1
0.024007500,1,1,1
0.044479500,0,1,1
0.054108500,1,1,1
0.074651500,0,1,1
0.084303500,1,1,1
0.098221500,1,1,0
0.104722500,0,1,0
0.109763500,0,0,0
0.114314000,1,0,0
0.118896000,1,0,1
0.134654500,0,0,1
0.139703500,0,1,1
0.144209500,1,1,1
0.164546500,0,1,1
0.170103000,1,1,1
0.174570500,0,1,1
0.182917500,1,1,1
0.194624000,0,1,1
0.203822500,1,1,1
0.224709500,0,1,1
0.234404000,1,1,1
0.254966000,0,1,1
0.264743500,1,1,1
0.278645000,1,1,0
0.285098500,0,1,0
0.289900000,0,0,0
0.294794000,1,0,0
0.299476000,1,0,1
0.315063000,0,0,1
0.320079500,0,1,1
0.324744500,1,1,1
0.344899500,0,1,1
0.354568500,1,1,1
0.374828000,0,1,1
0.384499000,1,1,1
0.404915000,0,1,1
0.414558500,1,1,1
0.435051000,0,1,1
0.444705000,1,1,1
0.459059500,1,1,0
0.465134000,0,1,0
0.470285500,0,0,0
0.474708500,1,0,0
0.479718500,1,0,1
0.495067500,0,0,1
0.499913500,0,1,1
0.504604000,1,1,1
0.524063000,1,0,1
0.524936000,0,0,1
0.530466000,1,0,1
0.534962000,0,0,1
0.538514000,0,1,1
0.543306500,1,1,1
0.554949000,0,1,1
0.564155500,1,1,1
0.584988000,0,1,1
0.594697500,1,1,1
0.615210000,0,1,1
0.624987000,1,1,1
0.639283500,1,1,0
0.645368000,0,1,0
0.650361500,0,0,0
0.655081500,1,0,0
0.660041000,1,0,1
0.675374000,0,0,1
0.680166000,0,1,1
0.685085000,1,1,1
0.705238500,0,1,1
0.714904500,1,1,1
0.735138500,0,1,1
0.744772500,1,1,1
0.765184000,0,1,1
0.774799000,1,1,1
0.795267500,0,1,1
0.804877000,1,1,1
0.818830000,1,1,0
0.825245000,0,1,0
0.830127500,0,0,0
0.834787000,1,0,0
0.839354000,1,0,1
0.855057500,0,0,1
0.860023000,0,1,1
0.864605000,1,1,1
0.884843500,0,1,1
0.890418000,1,1,1
0.894941000,0,1,1
0.903221500,1,1,1
0.914819500,0,1,1
0.924003000,1,1,1
0.944824000,0,1,1
0.954504500,1,1,1
0.974973500,0,1,1
0.984707000,1,1,1
0.998469000,1,1,0
1.005006500,0,1,0
1.009713500,0,0,0
1.014701000,1,0,0
1.019230500,1,0,1
1.034861500,0,0,1
1.039741500,0,1,1
1.044523500,1,1,1
1.064561000,0,1,1
1.074170000,1,1,1
1.094285000,0,1,1
1.103900500,1,1,1
1.124167500,0,1,1
1.133774000,1,1,1
1.154109000,0,1,1
1.163725500,1,1,1
1.177941000,1,1,0
1.184001500,0,1,0
1.189050000,0,0,0
1.193569000,1,0,0
1.198577500,1,0,1
1.213757500,0,0,1
1.218611500,0,1,1
1.223303500,1,1,1
1.242534500,1,0,1
1.243488000,0,0,1
1.249063000,1,0,1
1.253529000,0,0,1
1.256940000,0,1,1
1.261759500,1,1,1
1.273377000,0,1,1
1.282543500,1,1,1
1.303266500,0,1,1
1.312933500,1,1,1
1.333312000,0,1,1
1.343028500,1,1,1
1.357201500,1,1,0
1.363288000,0,1,0
1.368137000,0,0,0
1.372951000,1,0,0
1.377697500,1,0,1
1.393102500,0,0,1
1.397751500,0,1,1
1.402755000,1,1,1
1.422790000,0,1,1
1.432432000,1,1,1
1.452580000,0,1,1
1.462208000,1,1,1
1.482540500,0,1,1
1.492167000,1,1,1
1.512582000,0,1,1
1.522204000,1,1,1
1.536023500,1,1,0
1.542550000,0,1,0
1.547521000,0,0,0
1.552131500,1,0,0
1.556652000,1,0,1
1.572400000,0,0,1
1.577394500,0,1,1
1.581959000,1,1,1
1.602203500,0,1,1
1.607737000,1,1,1
1.612170000,0,1,1
1.620445000,1,1,1
1.632103500,0,1,1
1.641245500,1,1,1
1.662012500,0,1,1
1.671664000,1,1,1
1.692073000,0,1,1
1.701797500,1,1,1
1.715541000,1,1,0
1.722038500,0,1,0
1.726692500,0,0,0
1.731691000,1,0,0
1.736230500,1,0,1
1.751810000,0,0,1
1.756664000,0,1,1
1.761444000,1,1,1
1.781466500,0,1,1
1.791091000,1,1,1
1.811237000,0,1,1
1.820864000,1,1,1
1.841190000,0,1,1
1.850834500,1,1,1
1.871205000,0,1,1
1.880831000,1,1,1
1.894971500,1,1,0
1.901127500,0,1,0
1.906162000,0,0,0
1.910685000,1,0,0
1.915528000,1,0,1
1.930908000,0,0,1
1.935601000,0,1,1
1.940450000,1,1,1
1.959659500,1,0,1
1.960609000,0,0,1
1.966097000,1,0,1
1.970521500,0,0,1
1.973943000,0,1,1
1.978853500,1,1,1
1.990422500,0,1,1
1.999551000,1,1,1
2.020244500,0,1,1
2.029897500,1,1,1
2.050224000,0,1,1
2.059951000,1,1,1
2.074053000,1,1,0
2.080149500,0,1,0
2.085012500,0,0,0
2.089821500,1,0,0
2.094655000,1,0,1
2.109937500,0,0,1
2.114629000,0,1,1
2.119604000,1,1,1
2.139642500,0,1,1
2.149268000,1,1,1
2.169444500,0,1,1
2.179074000,1,1,1
2.199417500,0,1,1
2.209015500,1,1,1
2.229452500,0,1,1
2.239049000,1,1,1
2.252923000,1,1,0
2.259415500,0,1,0
2.264327000,0,0,0
2.268951500,1,0,0
2.273418000,1,0,1
2.289219000,0,0,1
2.294155500,0,1,1
2.298749000,1,1,1
2.318972000,0,1,1
2.324491500,1,1,1
2.329005000,0,1,1
2.337319000,1,1,1
2.348884000,0,1,1
2.358065000,1,1,1
2.378798500,0,1,1
2.388454000,1,1,1
2.408879000,0,1,1
2.418607000,1,1,1
2.432342500,1,1,0
2.438849500,0,1,0
2.443636000,0,0,0
2.448542000,1,0,0
2.453117000,1,0,1
2.468705500,0,0,1
2.473670500,0,1,1
2.478367000,1,1,1
2.498426000,0,1,1
2.508042500,1,1,1
2.528212500,0,1,1
2.537816000,1,1,1
2.558187000,0,1,1
2.567802000,1,1,1
2.588231500,0,1,1
2.597881000,1,1,1
2.612190500,1,1,0
2.618188500,0,1,0
2.623285000,0,0,0
2.627736000,1,0,0
2.632823500,1,0,1
2.647979000,0,0,1
2.652783500,0,1,1
2.657526000,1,1,1
2.676818500,1,0,1
2.677727500,0,0,1
2.683310000,1,0,1
2.687808500,0,0,1
2.691268000,0,1,1
2.696047000,1,1,1
2.707634500,0,1,1
2.716811000,1,1,1
2.737531000,0,1,1
2.747222000,1,1,1
2.767577500,0,1,1
2.777291500,1,1,1
2.791525500,1,1,0
2.797568500,0,1,0
2.802495500,0,0,0
2.807254000,1,0,0
2.812065500,1,0,1
2.827430500,0,0,1
2.832129500,0,1,1
2.837090500,1,1,1
2.857151000,0,1,1
2.866770000,1,1,1
2.886955500,0,1,1
2.896594500,1,1,1
2.916931000,0,1,1
2.926549500,1,1,1
2.946972500,0,1,1
2.956593000,1,1,1
2.970492500,1,1,0
2.976928500,0,1,0
2.981966000,0,0,0
2.986495000,1,0,0
2.991107500,1,0,1
3.006752500,0,0,1
3.011850500,0,1,1
3.016295500,1,1,1
3.036550000,0,1,1
3.042120000,1,1,1
3.046562500,0,1,1
3.054814000,1,1,1
3.066469000,0,1,1
3.075642500,1,1,1
3.096389000,0,1,1
3.106037000,1,1,1
3.126463000,0,1,1
3.136186000,1,1,1
3.149988500,1,1,0
3.156439500,0,1,0
3.161170000,0,0,0
3.166086000,1,0,0
3.170611000,1,0,1
3.186200000,0,0,1
3.191107500,0,1,1
3.195840000,1,1,1
3.215809000,0,1,1
3.225416500,1,1,1
3.245498000,0,1,1
3.255110500,1,1,1
3.275372000,0,1,1
3.284976500,1,1,1
3.305315500,0,1,1
3.314919000,1,1,1
3.329071500,1,1,0
3.335160000,0,1,0
3.340260000,0,0,0
3.344705500,1,0,0
3.349654000,1,0,1
3.364866000,0,0,1
3.369687500,0,1,1
3.374373000,1,1,1
3.393605500,1,0,1
3.394509000,0,0,1
3.399998500,1,0,1
3.404401000,0,0,1
3.407806000,0,1,1
3.412676500,1,1,1
3.424260500,0,1,1
3.433371000,1,1,1
3.454039500,0,1,1
3.463666000,1,1,1
3.484011000,0,1,1
3.493723000,1,1,1
3.507953000,1,1,0
3.513945000,0,1,0
3.518874000,0,0,0
3.523622500,1,0,0
3.528550500,1,0,1
3.543770500,0,0,1
3.548489500,0,1,1
3.553451000,1,1,1
3.573524500,0,1,1
3.583179500,1,1,1
3.603402000,0,1,1
3.613059000,1,1,1
3.633433500,0,1,1
3.643071000,1,1,1
3.663496000,0,1,1
3.673118500,1,1,1
3.686978500,1,1,0
3.693459000,0,1,0
3.698368500,0,0,0
3.702990000,1,0,0
3.707477500,1,0,1
3.723248500,0,0,1
3.728191000,0,1,1
3.732777000,1,1,1
3.752987500,0,1,1
3.758474500,1,1,1
3.762952500,0,1,1
3.771283000,1,1,1
3.782867500,0,1,1
3.792029000,1,1,1
3.812796000,0,1,1
3.822486000,1,1,1
3.842935000,0,1,1
3.852692500,1,1,1
3.866477000,1,1,0
3.873005500,0,1,0
3.877759500,0,0,0
3.882711000,1,0,0
3.887308500,1,0,1
3.902916000,0,0,1
3.907850000,0,1,1
3.912595500,1,1,1
3.932706500,0,1,1
3.942353000,1,1,1
3.962525000,0,1,1
3.972137500,1,1,1
3.992447000,0,1,1
4.002024500,1,1,1
4.022434000,0,1,1
4.032027500,1,1,1
4.046282000,1,1,0
4.052320500,0,1,0
4.057331500,0,0,0
4.061824500,1,0,0
4.066801500,1,0,1
4.082025500,0,0,1
4.086798500,0,1,1
4.091536000,1,1,1
4.110736000,1,0,1
4.111677000,0,0,1
4.117209500,1,0,1
4.121718500,0,0,1
4.125160500,0,1,1
4.129972500,1,1,1
4.141492500,0,1,1
4.150636000,1,1,1
4.171331500,0,1,1
4.180991000,1,1,1
4.201361500,0,1,1
4.211098500,1,1,1
4.225221000,1,1,0
4.231319000,0,1,0
4.236223500,0,0,0
4.240976500,1,0,0
4.245745000,1,0,1
4.261121000,0,0,1
4.265801000,0,1,1
4.270765000,1,1,1
4.290805000,0,1,1
4.300430000,1,1,1
4.320540000,0,1,1
4.330142500,1,1,1
4.350451500,0,1,1
4.360046500,1,1,1
4.380434500,0,1,1
4.390055500,1,1,1
4.403904500,1,1,0
4.410372000,0,1,0
4.415358500,0,0,0
4.419935500,1,0,0
4.424531000,1,0,1
4.440188000,0,0,1
4.445243000,0,1,1
4.449739500,1,1,1
4.470007000,0,1,1
4.475607500,1,1,1
4.480082000,0,1,1
4.488331000,1,1,1
4.500008500,0,1,1
4.509212000,1,1,1
4.529996500,0,1,1
4.539675000,1,1,1
4.560132500,0,1,1
4.569866500,1,1,1
4.583615000,1,1,0
4.590174000,0,1,0
4.594820500,0,0,0
4.599839500,1,0,0
4.604304500,1,0,1
4.620007500,0,0,1
4.624837000,0,1,1
4.629656000,1,1,1
4.649660000,0,1,1
4.659267500,1,1,1
4.679389000,0,1,1
4.688996500,1,1,1
4.709290000,0,1,1
4.718885500,1,1,1
4.739288500,0,1,1
4.748925500,1,1,1
4.763093000,1,1,0
4.769245000,0,1,0
4.774341500,0,0,0
4.778815500,1,0,0
4.783727500,1,0,1
4.799060000,0,0,1
4.803835500,0,1,1
4.808606000,1,1,1
4.827916000,1,0,1
4.828851000,0,0,1
4.834369000,1,0,1
4.838792000,0,0,1
4.842211500,0,1,1
4.847084500,1,1,1
4.858738000,0,1,1
4.867890500,1,1,1
4.888652000,0,1,1
4.898314000,1,1,1
4.918745000,0,1,1
4.928474500,1,1,1
4.942686000,1,1,0
4.948736500,0,1,0
4.953603500,0,0,0
4.958410500,1,0,0
4.963246500,1,0,1
4.978533000,0,0,1
4.983239000,0,1,1
4.988177000,1,1,1
5.008197500,0,1,1
5.017808500,1,1,1
5.037955500,0,1,1
5.047562000,1,1,1
5.067873000,0,1,1
5.077492500,1,1,1
5.097825000,0,1,1
5.107429000,1,1,1
5.121186000,1,1,0
5.127687000,0,1,0
5.132658500,0,0,0
5.137234500,1,0,0
5.141656000,1,0,1
5.157423500,0,0,1
5.162378000,0,1,1
5.166935500,1,1,1
5.187108500,0,1,1
5.192652500,1,1,1
5.197183000,0,1,1
5.205683000,1,1,1
5.217784000,0,1,1
5.227279500,1,1,1
5.249841500,0,1,1
5.260187000,1,1,1
5.283614000,0,1,1
5.294342500,1,1,1
5.311302000,1,1,0
5.318905500,0,1,0
5.324753500,0,0,0
5.329886000,1,0,0
5.336399500,1,0,1
5.355774500,0,0,1
5.362243000,0,1,1
5.367191500,1,1,1
5.394629500,0,1,1
5.406464000,1,1,1
5.435944500,0,1,1
5.448341500,1,1,1
5.468160000,1,1,1
